정관사,단어,뜻,중요도,pos,,
,anknüpfen,연결시키다,1,verb,,
,ankommen,도착하다,3,verb,,
,ankündigen,"통지하다, 알리다",1,verb,,
die,Ankunft,도착,3,noun,,
die,Anlage,"시설, 투자, 소질",2,noun,,
der,Anlass,"원인, 동기",2,noun,,
,anlassen,시동시키다,1,verb,,
,anlegen,기대다,2,verb,,
,anlehnen,기대다,1,verb,,
die,Anleihe,"차용, 차입",1,noun,,
,anleiten,지도하다,1,verb,,
,anmaßen,감히 ~하다,1,verb,,
,anmelden,알리다,2,verb,,
die,Anmerkung,논평,1,noun,,
die,Anmut,우아,1,noun,,
die,Annahme,"수령, 채용",2,noun,,
,annehmen,"수령하다, 채용하다",2,verb,,
,anpacken,움켜잡다,1,verb,,
,anpassen,"맞주다, 조화시키다",2,verb,,
die,Anrede,호칭,1,noun,,
,anreden,"호칭하다, 부르다",2,verb,,
,anregen,"자극하다, 조언하다",2,verb,,
die,Anregung,"자극, 조언",1,noun,,
,anreißen,개봉하다,1,verb,,
der,Anruf,부름,1,noun,,
,anrufen,"전화걸다, 부르다",3,verb,,
,ansagen,"알리다, 고지하다",2,verb,,
der,Ansager,아나운서,1,noun,,
der,Ansatz,부가물,1,noun,,
,anschaffen,"명령하다, 지시하다",1,verb,,
,anschauen,바라보다,2,verb,,
die,Anschauung,바라봄,2,noun,,
der,Anschein,"외모, 풍채",1,noun,,
der,Anschlag,"게시, 포스터",1,noun,,
,anschließen,연결하다,1,verb,,
der,Anschluss,연결,2,noun,,
die,Anschrift,주소,1,noun,,
,anschuldigen,고발하다,1,verb,,
,ansehen,"바라보다, 주시하다",2,verb,,
,ansetzen,"덧붙이다, 정하다",2,verb,,
die,Ansicht,의견,2,noun,,
die,Ansichtskarte,그림엽서,1,noun,,
,anspielen,넌지시 암시하다,1,verb,,
die,Ansprache,인사말,1,noun,,
,ansprechen,말걸다,2,verb,,
der,Anspruch,"권리, 청구권",2,noun,,
die,Anstalt,공공시설,1,noun,,
der,Anstand,"예의범절, 미풍양속",1,noun,,
,anständig,단정한,2,adjective,,
